rank,name,number_students,student_staff_ratio,intl_students,female_male_ratio,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,address,street_address,locality_address,region_address,postcode_address,country_address
=92,Vanderbilt University,12971,3.9,17,55,67.4,54.1,48.5,96.0,96.5,62.9,"2201 West End Avenue, Nashville, Tennessee, 37240, United States",,,,,
94,Charité - Universitätsmedizin Berlin,8868,17.5,21,65,67.2,47.5,49.1,97.7,100.0,75.2,"Chariteplatz 1, Berlin, 10117, Germany",,,,,
=95,,32680,9.6,37,50,67.0,87.5,75.2,33.9,91.1,73.8,,,,,,
=95,University of Tübingen,21632,27.1,14,59,67.0,49.1,56.5,89.0,99.8,72.0,"Geschwister-Scholl-Platz, Tubingen, Baden-Wurttemberg, 72074, Germany",,,,,
=97,KTH Royal Institute of Technology,13269,15.9,26,34,66.9,53.5,57.8,81.0,97.7,82.5,"Brinellvägen 8, Stockholm, 100 44, Sweden",,,,,
=97,University of Southampton,19920,13.0,35,51,66.9,48.9,50.1,92.7,73.1,96.5,"University Road, Highfield, Southampton, SO17 1BJ, United Kingdom",,,,,
=99,Erasmus University Rotterdam,33874,36.0,25,54,66.7,38.5,54.1,96.9,94.7,90.6,"Burgemeester Oudlaan 50, Rotterdam, South Holland, 3062 PA, Netherlands",,,,,
=99,Ohio State University (Main campus),55538,11.4,11,51,66.7,55.8,52.7,88.4,85.0,67.3,"281 W. Lane Ave, Columbus, Ohio, 43210, United States",,,,,
101,University of Birmingham,32625,15.2,32,58,66.6,46.1,49.3,95.5,72.1,95.1,"Chancellors Court, Edgbaston, Birmingham, West Midlands, B15 2TT, United Kingdom",,,,,
102,Free University of Berlin,25427,41.5,20,63,66.5,52.1,59.7,82.5,71.6,82.4,"Kaiserswerther Str. 16-18, 14195 Berlin, Germany",,,,,
=103,University of Copenhagen,31728,4.3,14,62,66.3,49.2,51.1,91.3,89.5,80.1,"Norregade 10, PO Box 2177, Copenhagen, 1017, Denmark",,,,,
=103,McMaster University,28254,30.9,22,56,66.3,43.8,51.3,93.0,100.0,87.3,,,,,,
105,University of Sheffield,27860,15.4,40,53,66.2,48.0,49.5,92.3,77.5,92.0,"Western Bank, Sheffield, South Yorkshire, S10 2TN, United Kingdom",,,,,
=106,Emory University,13127,4.0,19,61,66.1,53.1,45.7,95.5,81.6,69.3,"201 Dowman Drive, Atlanta, Georgia, 30322, United States",,,,,
=106,Lund University,30349,12.0,18,56,66.1,46.7,56.6,86.6,99.8,79.8,"P.O. Box 117, Lund, Skane Province, 221 00, Sweden",,,,,
=106,University of Warwick,24905,14.4,44,50,66.1,48.1,52.1,89.0,70.5,96.4,"University Road, Coventry, CV4 7AL, United Kingdom",,,,,
=109,Aarhus University,26996,13.5,9,56,65.9,44.9,59.0,86.3,98.7,76.3,"Nordre Ringgade 1, Aarhus, 8000, Denmark",,,,,
=109,University of Alberta,33730,22.8,27,,65.9,50.1,55.5,80.9,99.9,90.7,,,,,,
=111,University of Adelaide,23792,36.4,31,49,65.8,42.4,50.6,92.8,95.0,92.9,,,,,,
